date,uClose,uOpen,uHigh,uLow,uVolume,close,open,high,low,volume,change,changePercent,label,changeOverTime
2014-11-17,38.18,37.78,38.97,35.89,127411,38.67,37.34,38.16,36.41,126649,0,0,"Nov 17, 14",0
2014-11-18,38.39,38.09,38.46,37.9,122378,38.09,37.22,37.48,37.6,120877,-0.01,-0.0277,"Nov 18, 14",-0.00028
2014-11-19,36.53,38.12,37.06,35.52,206999,37.61,38.48,37.31,34.89,214414,-0.97,-2.7128,"Nov 19, 14",-0.02741
2014-11-20,36.26,36.58,36.7,36.18,63985,36.22,37.28,37.9,36.18,64135,0.15,0.4316,"Nov 20, 14",-0.022968
2014-11-21,36.21,37,36.93,35.88,124132,36.89,36.8,36.61,36.99,126169,0.15,0.4203,"Nov 21, 14",-0.019352
2014-11-24,37.55,37.49,39.29,37.67,386189,37.98,38.21,38.63,36.42,374698,0.5,1.4019,"Nov 24, 14",-0.004993
2014-11-25,37.5,37.76,38.41,36.75,157558,36.2,37.4,36.9,37.05,157691,-0.89,-2.4491,"Nov 25, 14",-0.02964
2014-11-26,37,36.89,36.16,35,92410,37.2,36.35,37.66,36,92706,-0.3,-0.869,"Nov 26, 14",-0.038043
2014-11-28,36.34,36.1,36.5,35.2,40334,36.54,36.5,36.8,36.12,40021,-0.11,-0.31,"Nov 28, 14",-0.042103
2014-12-01,34.24,36.73,36.46,34.04,144991,35.03,35.21,36.35,34.85,141845,-1.4,-3.8671,"Dec 1, 14",-0.076612
2014-12-02,34.46,35.42,36.25,33.19,190138,35.2,34.34,35.6,34.42,189088,-0.46,-1.397,"Dec 2, 14",-0.089314
2014-12-03,32.63,34.09,34.59,33.59,147904,33.33,33.8,34.09,33.09,150137,-1.08,-3.263,"Dec 3, 14",-0.122115
2014-12-04,33.57,32.68,33.82,33.56,141692,34.2,33.64,33.4,32.41,136761,0.27,0.8293,"Dec 4, 14",-0.112658
2014-12-05,33.84,33.35,34.43,34.09,87883,33.96,33.93,34.42,34.07,86114,0.53,1.6099,"Dec 5, 14",-0.098313
2014-12-08,34.38,33.83,35.66,34.22,118041,34.61,34.55,34.49,33.22,117221,0.7,2.1073,"Dec 8, 14",-0.079123
2014-12-09,34.88,33.64,36.72,33.29,135070,35,33.8,36.39,33.72,131976,0.79,2.3166,"Dec 9, 14",-0.058526
2014-12-10,34.27,34.8,35.69,34.63,98610,35.8,35.58,36.6,34.93,101325,-0.61,-1.7461,"Dec 10, 14",-0.075092
2014-12-11,34.2,35.29,36.28,33,96513,33.57,35.58,37.02,34,93648,-0.66,-1.8556,"Dec 11, 14",-0.09512
2014-12-12,34.61,34.62,35.19,33.09,211692,34.37,34.93,34.72,32.88,205760,-0.5,-1.5436,"Dec 12, 14",-0.109587
2014-12-15,33.19,34.24,35.13,31.07,180116,33.85,34.32,35.68,32.06,180093,-0.7,-2.074,"Dec 15, 14",-0.124799
2014-12-16,33.05,33.2,32.5,32.87,218131,33.46,33,33.4,32.73,224428,-0.33,-1.0301,"Dec 16, 14",-0.136839
2014-12-17,34.86,32.29,34.68,31.17,254050,34.64,32.69,35.29,32.1,253150,1.76,5.4361,"Dec 17, 14",-0.08787
2014-12-18,34.22,34.9,35.56,34.47,183626,34.51,35,35.19,34.63,185978,0.28,0.8031,"Dec 18, 14",-0.079732
2014-12-19,33.94,35.9,35.74,34.35,770797,34.52,34.5,35.29,35.05,773417,-0.5,-1.5081,"Dec 19, 14",-0.093838
2014-12-22,33.23,34.7,35.59,32.87,110106,34.42,34.4,35.68,33.21,111346,-0.36,-1.027,"Dec 22, 14",-0.10452
2014-12-23,34,33.67,34.5,33.18,94319,34,34.17,35.6,33.66,92685,0.85,2.4762,"Dec 23, 14",-0.079632
2014-12-24,34,34.99,34.82,34.23,77989,34.25,35.82,34.89,33.89,79163,-0.5,-1.4303,"Dec 24, 14",-0.0939
2014-12-26,34.71,34.15,33.89,33.5,44892,34.29,33.95,34.97,33.7,44218,0.07,0.2142,"Dec 26, 14",-0.091103
2014-12-29,34.98,33.94,35.21,33.9,88293,35.25,34.45,34.82,34.7,86286,0.5,1.4897,"Dec 29, 14",-0.0768
2014-12-30,33.93,34.31,35.87,33.8,81365,33.81,34.41,35.19,33.3,79357,-0.5,-1.5038,"Dec 30, 14",-0.089453
2014-12-31,34.57,33.92,34,33.88,47152,33.94,34.81,33.9,33.97,47360,0.02,0.0609,"Dec 31, 14",-0.09129
2015-01-02,35.15,35.22,35.79,33.8,67402,34.66,34.36,34.71,34.1,68772,-0.13,-0.4006,"Jan 2, 15",-0.095653
2015-01-05,34.59,34.04,34.6,33,83991,34.91,34.39,34.98,34.3,81396,-0.07,-0.2149,"Jan 5, 15",-0.097261
2015-01-06,34.22,34.33,34.39,32.39,140777,33.57,35.03,34.88,33.39,137396,-0.5,-1.4766,"Jan 6, 15",-0.107044
2015-01-07,34,33.4,35.11,33.63,102997,33.95,33.9,33.72,33.87,99161,0.1,0.3095,"Jan 7, 15",-0.1072
2015-01-08,34.88,34.04,34.77,33.65,53818,35.27,34.05,34.4,34.36,55429,0.67,2.0248,"Jan 8, 15",-0.088072
2015-01-09,34.67,34.75,36.33,33,225027,33.43,34.78,37.02,33.1,223332,-0.56,-1.6243,"Jan 9, 15",-0.102084
2015-01-12,33.94,34.1,34.11,33.28,100873,33.97,33.26,34.47,33.65,100808,-0.09,-0.2748,"Jan 12, 15",-0.105991
2015-01-13,32.9,34.62,35,33.24,126508,33.08,34.36,34,32.95,123797,-0.53,-1.589,"Jan 13, 15",-0.120801
2015-01-14,33.97,33.42,33.74,32.02,201088,33.6,32.94,33.49,33.21,199506,-0.01,-0.0308,"Jan 14, 15",-0.122409
2015-01-15,34.03,34.11,34.21,31.83,104789,32.86,33.76,34.51,31.87,107007,0.01,0.0322,"Jan 15, 15",-0.122325
2015-01-16,34.6,33.6,34.84,34.03,121249,35,33.5,33.42,33.36,121732,0.8,2.475,"Jan 16, 15",-0.09901
2015-01-20,35.17,34.69,35.44,33,124041,34.04,33.97,35.47,33.07,123946,0.56,1.668,"Jan 20, 15",-0.084399
2015-01-21,34.89,34.6,34.9,33.71,220764,35.13,33.9,35.5,34.5,221234,0,0,"Jan 21, 15",-0.083212
2015-01-22,36.15,35.68,36.01,34.23,132057,35.45,34.12,36.67,34.67,129844,1.17,3.5042,"Jan 22, 15",-0.05298
2015-01-23,35.18,36,36.22,33.6,122687,33.6,37,35.34,33.8,125374,-1.53,-4.4084,"Jan 23, 15",-0.091832
2015-01-26,34.13,34.19,35.57,32.89,159980,33.7,34.28,34.25,33.59,158113,-0.34,-1.0197,"Jan 26, 15",-0.100876
2015-01-27,35.38,34.1,35.43,32.54,154390,34.86,34.3,35.36,33.05,148313,1.05,3.1701,"Jan 27, 15",-0.074167
2015-01-28,35.63,34.66,35.81,35.41,131124,35.81,35.04,36.53,35.82,128337,0.55,1.5868,"Jan 28, 15",-0.061027
2015-01-29,35.69,35.44,36.7,35.14,62573,35.91,35.73,35.65,34.93,63481,0.27,0.789,"Jan 29, 15",-0.05284
2015-01-30,34.67,34.74,34.88,34.82,50847,34.03,35.06,35.83,35.11,49226,-1.35,-3.9773,"Jan 30, 15",-0.089433
2015-02-02,33.82,35.06,35.65,33.64,91615,33.44,35.4,34.68,32.57,90542,-0.38,-1.071,"Feb 2, 15",-0.101697
2015-02-03,35.89,34.86,35.92,34.52,101055,35.92,34.34,36.3,34.24,101211,1.1,3.3382,"Feb 3, 15",-0.069899
2015-02-04,35.41,35.74,35,34.51,81372,36.24,35.34,35,34.6,79571,0.18,0.5438,"Feb 4, 15",-0.065189
2015-02-05,36.6,34.86,37.3,34.68,99414,37.38,35.83,36.2,35.61,102342,1.15,3.2987,"Feb 5, 15",-0.032323
2015-02-06,35.9,36.28,37.18,36.84,43895,35.9,37.21,37.42,35.46,42652,-0.53,-1.4928,"Feb 6, 15",-0.046775
2015-02-09,34.92,36.61,35.49,35.31,56275,35.79,36.09,36.78,34.84,57803,-1.14,-3.1747,"Feb 9, 15",-0.0769
2015-02-10,36.43,35.3,35.76,34.5,75830,35.79,35.7,36.88,34.8,76707,0.68,1.9726,"Feb 10, 15",-0.058572
2015-02-11,35,37,37.06,35.3,137454,35.35,36,36.1,35.2,137882,-0.35,-0.9837,"Feb 11, 15",-0.06822
2015-02-12,38.7,39.5,39,35.05,389720,37.27,38.8,40,34.67,388319,2.74,7.744,"Feb 12, 15",0.005491
