date,high,low
2017-05-18,68.6,66.2
2017-05-19,70.97,70.14
2017-05-22,71.24,69.53
2017-05-23,73.1,72.3
2017-05-24,72.8,72.3
2017-05-25,74.1,72.2
2017-05-26,73.5,70.53
2017-05-30,72,70.75
2017-05-31,75.9,74.1
2017-06-01,74.7,73.5
2017-06-02,76.29,75.71
2017-06-05,78.5,77.4
2017-06-06,77.3,75.5
2017-06-07,77.37,78.17
2017-06-08,80.9,77.05
2017-06-09,81.6,73.55
2017-06-12,71.1,67.5
2017-06-13,73.2,70.67
2017-06-14,73.74,67.4
2017-06-15,67.13,66.23
2017-06-16,68.6,67.22
2017-06-19,70.65,69.26
2017-06-20,71.2,68.3
2017-06-21,72,68.8
2017-06-22,68.8,68.2
2017-06-23,71.3,68.8
2017-06-26,71.48,71.42
2017-06-27,70.7,67.3
2017-06-28,70.5,67.27
2017-06-29,68.6,66.74
2017-06-30,68.64,67.36
2017-07-03,67.8,64.34
2017-07-05,65.75,63.9
2017-07-06,66.25,64
2017-07-07,66.23,63.9
2017-07-10,67.62,65.52
2017-07-11,70.8,67
2017-07-12,69.96,69.13
2017-07-13,73.64,69.78
2017-07-14,74.91,73.8
2017-07-17,74.2,72.2
2017-07-18,74.6,71.3
2017-07-19,77.1,73
2017-07-20,75.7,76.8
2017-07-21,75.79,74.5
2017-07-24,79.1,75.1
2017-07-25,78.5,76
2017-07-26,78.21,75.4
2017-07-27,77.9,72.47
2017-07-28,75.4,73
2017-07-31,77.02,72.8
2017-08-01,74.25,73.1
2017-08-02,74.1,69
2017-08-03,74.4,71.53
2017-08-04,74.91,73.1
2017-08-07,73.77,71.77
2017-08-08,73.18,70.28
2017-08-09,70.9,68.3
2017-08-10,69.2,67.9
2017-08-11,68.27,67.1
2017-08-14,72.23,69.6
2017-08-15,73.32,72.03
2017-08-16,71.7,71.2
2017-08-17,72.5,71
2017-08-18,70.96,68.35
2017-08-21,71.7,67.5
2017-08-22,71.7,69.8
2017-08-23,72.3,69.15
2017-08-24,71.6,72.5
2017-08-25,72,71.5
2017-08-28,69.38,69.35
2017-08-29,72,67.82
2017-08-30,73.5,69.5
2017-08-31,75.09,73.2
2017-09-01,74.65,75.8
2017-09-05,75.32,71.4
2017-09-06,74.6,73.7
2017-09-07,73.2,72
2017-09-08,74.53,72.31
2017-09-11,75.85,72.5
2017-09-12,75.7,72.59
2017-09-13,75.2,74.09
2017-09-14,75.8,72.9
2017-09-15,75.23,75.2
2017-09-18,78.8,75.91
2017-09-19,77.7,76.21
2017-09-20,80,75.71
2017-09-21,78,72.85
2017-09-22,77.6,75.23
2017-09-25,76,73.05
2017-09-26,76.64,72.42
2017-09-27,83.72,76.5
2017-09-28,86.96,81.2
2017-09-29,85.48,82.82
2017-10-02,88.7,86.57
2017-10-03,87,86.3
